N,force,sphere_type,Rg,Rh_nominal,blob_radius,Ux,Uy,Uz,U_mag,U_theory,absolute_error,relative_error_percent,Omega_mag,alignment_angle_deg,runtime_seconds,solver_method,source
12,0.1,Rh_calibrated,0.7921,1.0,0.41642068286675,5.589596023626148e-21,-3.176829614993227e-19,0.005305386069475873,0.005305386069475873,0.005305164769729845,2.2129974602737995e-07,0.004171401938165423,2.796399593402218e-19,0.0,0.016092300415039062,Cholesky,Computed in Phase 1 Force-Resolution Sweep
12,0.5,Rh_calibrated,0.7921,1.0,0.41642068286675,2.794798011813074e-20,-1.5884148074966133e-18,0.026526930347379362,0.026526930347379362,0.026525823848649224,1.1064987301377671e-06,0.004171401938168693,1.3981997967011088e-18,0.0,0.0007572174072265625,Cholesky,Computed in Phase 1 Force-Resolution Sweep
12,1.0,Rh_calibrated,0.7921,1.0,0.41642068286675,5.589596023626148e-20,-3.1768296149932265e-18,0.053053860694758724,0.053053860694758724,0.05305164769729845,2.2129974602755342e-06,0.004171401938168693,2.7963995934022177e-18,0.0,0.0008695125579833984,Cholesky,Phase 1C Resolution Sweep (cached)
12,2.0,Rh_calibrated,0.7921,1.0,0.41642068286675,1.1179192047252296e-19,-6.353659229986453e-18,0.10610772138951745,0.10610772138951745,0.1061032953945969,4.4259949205510685e-06,0.004171401938168693,5.592799186804435e-18,0.0,0.0004456043243408203,Cholesky,Computed in Phase 1 Force-Resolution Sweep
12,5.0,Rh_calibrated,0.7921,1.0,0.41642068286675,2.794798011813074e-19,-1.588414807496613e-17,0.2652693034737936,0.2652693034737936,0.2652582384864922,1.1064987301412366e-05,0.004171401938181773,1.3981997967011087e-17,0.0,0.0004353523254394531,Cholesky,Computed in Phase 1 Force-Resolution Sweep
12,10.0,Rh_calibrated,0.7921,1.0,0.41642068286675,5.589596023626148e-19,-3.176829614993226e-17,0.5305386069475873,0.5305386069475873,0.5305164769729844,2.212997460282473e-05,0.004171401938181773,2.7963995934022175e-17,0.0,0.0004324913024902344,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,0.1,Rh_calibrated,0.8913,1.0,0.243553056072,3.1245745043884483e-20,1.0411064826878193e-18,0.005305060333993413,0.005305060333993413,0.005305164769729845,1.0443573643208193e-07,0.0019685672540836105,1.1456664136200694e-18,0.0,0.0012884140014648438,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,0.5,Rh_calibrated,0.8913,1.0,0.243553056072,1.562287252194224e-19,5.2055324134390964e-18,0.026525301669967062,0.026525301669967062,0.026525823848649224,5.221786821621444e-07,0.001968567254090151,5.728332068100347e-18,0.0,0.0007805824279785156,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,1.0,Rh_calibrated,0.8913,1.0,0.243553056072,3.124574504388448e-19,1.0411064826878193e-17,0.053050603339934124,0.053050603339934124,0.05305164769729845,1.0443573643242887e-06,0.001968567254090151,1.1456664136200694e-17,0.0,0.0011255741119384766,Cholesky,Phase 1C Resolution Sweep (cached)
42,2.0,Rh_calibrated,0.8913,1.0,0.243553056072,6.249149008776896e-19,2.0822129653756386e-17,0.10610120667986825,0.10610120667986825,0.1061032953945969,2.0887147286485774e-06,0.001968567254090151,2.2913328272401388e-17,0.0,0.0007245540618896484,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,5.0,Rh_calibrated,0.8913,1.0,0.243553056072,1.5622872521942241e-18,5.2055324134390964e-17,0.2652530166996706,0.2652530166996706,0.2652582384864922,5.221786821607566e-06,0.0019685672540849194,5.728332068100346e-17,0.0,0.0007426738739013672,Cholesky,Computed in Phase 1 Force-Resolution Sweep
42,10.0,Rh_calibrated,0.8913,1.0,0.243553056072,3.1245745043884483e-18,1.0411064826878193e-16,0.5305060333993412,0.5305060333993412,0.5305164769729844,1.0443573643215132e-05,0.0019685672540849194,1.1456664136200693e-16,0.0,0.0007116794586181641,Cholesky,Computed in Phase 1 Force-Resolution Sweep
162,0.1,Rh_calibrated,0.9497,1.0,0.13100877695,1.1718392920936476e-20,-1.7612282055803534e-21,0.005305340704968186,0.005305340704968186,0.005305164769729845,1.7593523834059238e-07,0.0033163011136702453,8.143558220964626e-19,0.0,0.03308391571044922,Cholesky,Phase 1B Force Sweep (cached)
162,0.5,Rh_calibrated,0.9497,1.0,0.13100877695,5.859196460468238e-20,-8.806141027901766e-21,0.026526703524840926,0.026526703524840926,0.026525823848649224,8.796761917020945e-07,0.003316301113666976,4.071779110482313e-18,0.0,0.011851310729980469,Cholesky,Phase 1B Force Sweep (cached)
162,1.0,Rh_calibrated,0.9497,1.0,0.13100877695,1.1718392920936476e-19,-1.7612282055803533e-20,0.05305340704968185,0.05305340704968185,0.05305164769729845,1.759352383404189e-06,0.003316301113666976,8.143558220964626e-18,0.0,0.011339426040649414,Cholesky,Phase 1B Force Sweep (cached)
162,2.0,Rh_calibrated,0.9497,1.0,0.13100877695,2.343678584187295e-19,-3.5224564111607066e-20,0.1061068140993637,0.1061068140993637,0.1061032953945969,3.518704766808378e-06,0.003316301113666976,1.628711644192925e-17,0.0,0.011779308319091797,Cholesky,Phase 1B Force Sweep (cached)
162,5.0,Rh_calibrated,0.9497,1.0,0.13100877695,5.859196460468237e-19,-8.806141027901766e-20,0.2652670352484093,0.2652670352484093,0.2652582384864922,8.796761917062579e-06,0.003316301113682672,4.0717791104823126e-17,0.0,0.011304140090942383,Cholesky,Phase 1B Force Sweep (cached)
162,10.0,Rh_calibrated,0.9497,1.0,0.13100877695,1.1718392920936475e-18,-1.7612282055803533e-19,0.5305340704968186,0.5305340704968186,0.5305164769729844,1.7593523834125158e-05,0.003316301113682672,8.143558220964625e-17,0.0,0.011279582977294922,Cholesky,Phase 1B Force Sweep (cached)
642,0.1,Rh_calibrated,0.9767,1.0,0.067527675333,-1.2204899894715984e-20,-9.816953894407387e-19,0.0053049583504853086,0.0053049583504853086,0.005305164769729845,2.0641924453664723e-07,0.003890911093175315,4.720018432321952e-19,0.0,0.3806171417236328,Cholesky,Computed in Phase 1 Force-Resolution Sweep
642,0.5,Rh_calibrated,0.9767,1.0,0.067527675333,-6.102449947357992e-20,-4.908476947203694e-18,0.02652479175242654,0.02652479175242654,0.026525823848649224,1.0320962226841035e-06,0.0038909110931785854,2.360009216160976e-18,0.0,0.5004386901855469,Cholesky,Computed in Phase 1 Force-Resolution Sweep
642,1.0,Rh_calibrated,0.9767,1.0,0.067527675333,-1.2204899894715984e-19,-9.816953894407387e-18,0.05304958350485308,0.05304958350485308,0.05305164769729845,2.064192445368207e-06,0.0038909110931785854,4.720018432321952e-18,0.0,0.18506264686584473,Cholesky,Phase 1C Resolution Sweep (cached)
642,2.0,Rh_calibrated,0.9767,1.0,0.067527675333,-2.4409799789431967e-19,-1.9633907788814775e-17,0.10609916700970616,0.10609916700970616,0.1061032953945969,4.128384890736414e-06,0.0038909110931785854,9.440036864643904e-18,0.0,0.3783445358276367,Cholesky,Computed in Phase 1 Force-Resolution Sweep
642,5.0,Rh_calibrated,0.9767,1.0,0.067527675333,-6.102449947357992e-19,-4.9084769472036934e-17,0.2652479175242654,0.2652479175242654,0.2652582384864922,1.032096222680634e-05,0.0038909110931655065,2.360009216160976e-17,0.0,0.27684903144836426,Cholesky,Computed in Phase 1 Force-Resolution Sweep
642,10.0,Rh_calibrated,0.9767,1.0,0.067527675333,-1.2204899894715984e-18,-9.816953894407387e-17,0.5304958350485308,0.5304958350485308,0.5305164769729844,2.064192445361268e-05,0.0038909110931655065,4.720018432321952e-17,0.0,0.28946685791015625,Cholesky,Computed in Phase 1 Force-Resolution Sweep
2562,0.1,Rh_calibrated,0.9888,1.0,0.034204978919,3.2963719257346196e-17,6.893158855774885e-16,0.00530532365969883,0.00530532365969883,0.005305164769729845,1.5888996898489466e-07,0.0029950053557523306,1.1649750255064672e-16,0.0,4.91988205909729,GMRES (Numba),Computed in Phase 1 Force-Resolution Sweep
2562,0.5,Rh_calibrated,0.9888,1.0,0.034204978919,-1.5716883525996095e-15,4.797317677119583e-16,0.026526618298494103,0.026526618298494103,0.026525823848649224,7.944498448785031e-07,0.002995005355579027,3.683392426633242e-16,0.0,0.9355514049530029,GMRES (Numba),Computed in Phase 1 Force-Resolution Sweep
