angle_deg,norm_M_tr,Uz_norm,U_bisect,Omega_bi_mag,anisotropy
30.00,1.05588523e-02,6.74424853e-02,8.42140538e-02,1.51788304e-18,0.800846
40.00,1.22950278e-02,6.49427348e-02,7.94804282e-02,6.50521303e-18,0.817091
50.00,1.33539016e-02,6.31200521e-02,7.56026853e-02,1.47451495e-17,0.834892
60.00,1.40680142e-02,6.17357826e-02,7.22705447e-02,8.67361738e-19,0.854232
70.00,1.46376628e-02,6.06703806e-02,6.93471655e-02,2.60208521e-18,0.874879
80.00,1.51816510e-02,5.98260840e-02,6.67592131e-02,1.71352793e-17,0.896147
90.00,1.58197042e-02,5.91423262e-02,6.44698610e-02,6.07153217e-18,0.917364
100.00,1.66926236e-02,5.85803251e-02,6.24579637e-02,4.77048956e-18,0.937916
110.00,1.79830281e-02,5.81144145e-02,6.07092212e-02,2.60208521e-18,0.957258
120.00,1.99529945e-02,5.77283200e-02,5.92139174e-02,3.90312782e-18,0.974911
130.00,2.30275000e-02,5.74134686e-02,5.79659462e-02,7.84962373e-17,0.990469
140.00,2.80008914e-02,5.71630190e-02,5.69570000e-02,1.51788304e-18,1.003617
150.00,3.66803949e-02,5.69722428e-02,5.61798591e-02,5.74627151e-18,1.014104
