N,blob_radius,Fz,Ux,Uy,Uz,abs_Uz,U_mag,Omega_mag
7,5.833333e-01,0.20,5.24742854e-04,-2.77744623e-04,-8.62955063e-03,8.62955063e-03,8.64995036e-03,1.81210203e-04
7,5.833333e-01,0.50,1.31185713e-03,-6.94361559e-04,-2.15738766e-02,2.15738766e-02,2.16248759e-02,4.53025508e-04
7,5.833333e-01,1.00,2.62371427e-03,-1.38872312e-03,-4.31477531e-02,4.31477531e-02,4.32497518e-02,9.06051016e-04
7,5.833333e-01,2.00,5.24742854e-03,-2.77744623e-03,-8.62955063e-02,8.62955063e-02,8.64995036e-02,1.81210203e-03
7,5.833333e-01,5.00,1.31185713e-02,-6.94361559e-03,-2.15738766e-01,2.15738766e-01,2.16248759e-01,4.53025508e-03
7,5.833333e-01,10.00,2.62371427e-02,-1.38872312e-02,-4.31477531e-01,4.31477531e-01,4.32497518e-01,9.06051016e-03
15,2.500000e-01,0.20,1.01433089e-03,-4.83316378e-04,-1.25631539e-02,1.25631539e-02,1.26132984e-02,6.75978675e-04
15,2.500000e-01,0.50,2.53582723e-03,-1.20829095e-03,-3.14078847e-02,3.14078847e-02,3.15332461e-02,1.68994669e-03
15,2.500000e-01,1.00,5.07165446e-03,-2.41658189e-03,-6.28157694e-02,6.28157694e-02,6.30664921e-02,3.37989338e-03
15,2.500000e-01,2.00,1.01433089e-02,-4.83316378e-03,-1.25631539e-01,1.25631539e-01,1.26132984e-01,6.75978675e-03
15,2.500000e-01,5.00,2.53582723e-02,-1.20829095e-02,-3.14078847e-01,3.14078847e-01,3.15332461e-01,1.68994669e-02
15,2.500000e-01,10.00,5.07165446e-02,-2.41658189e-02,-6.28157694e-01,6.28157694e-01,6.30664921e-01,3.37989338e-02
29,1.250000e-01,0.20,1.48601808e-03,-6.51506343e-04,-1.59545148e-02,1.59545148e-02,1.60368093e-02,1.27846500e-03
29,1.250000e-01,0.50,3.71504519e-03,-1.62876586e-03,-3.98862871e-02,3.98862871e-02,4.00920234e-02,3.19616250e-03
29,1.250000e-01,1.00,7.43009038e-03,-3.25753172e-03,-7.97725742e-02,7.97725742e-02,8.01840467e-02,6.39232500e-03
29,1.250000e-01,2.00,1.48601808e-02,-6.51506343e-03,-1.59545148e-01,1.59545148e-01,1.60368093e-01,1.27846500e-02
29,1.250000e-01,5.00,3.71504519e-02,-1.62876586e-02,-3.98862871e-01,3.98862871e-01,4.00920234e-01,3.19616250e-02
29,1.250000e-01,10.00,7.43009038e-02,-3.25753172e-02,-7.97725742e-01,7.97725742e-01,8.01840467e-01,6.39232500e-02
