theta_deg,theta_rad,Ux,Uy,Uz,abs_Uz,sin_2theta
0.0,0.000000,0.00000000e+00,1.23331504e-17,-5.77441149e-02,5.77441149e-02,0.000000
5.0,0.087266,8.80683555e-04,-2.97860232e-04,-5.78211647e-02,5.78211647e-02,0.173648
10.0,0.174533,1.73460799e-03,-5.93453567e-04,-5.80499731e-02,5.80499731e-02,0.342020
15.0,0.261799,2.53582723e-03,-8.84530362e-04,-5.84235878e-02,5.84235878e-02,0.500000
20.0,0.349066,3.25999665e-03,-1.16887535e-03,-5.89306567e-02,5.89306567e-02,0.642788
25.0,0.436332,3.88511272e-03,-1.44432449e-03,-5.95557727e-02,5.95557727e-02,0.766044
30.0,0.523599,4.39218160e-03,-1.70878144e-03,-6.02799422e-02,6.02799422e-02,0.866025
35.0,0.610865,4.76579627e-03,-1.96023354e-03,-6.10811614e-02,6.10811614e-02,0.939693
40.0,0.698132,4.99460464e-03,-2.19676708e-03,-6.19350858e-02,6.19350858e-02,0.984808
45.0,0.785398,5.07165446e-03,-2.41658189e-03,-6.28157694e-02,6.28157694e-02,1.000000
50.0,0.872665,4.99460464e-03,-2.61800506e-03,-6.36964529e-02,6.36964529e-02,0.984808
55.0,0.959931,4.76579627e-03,-2.79950362e-03,-6.45503774e-02,6.45503774e-02,0.939693
60.0,1.047198,4.39218160e-03,-2.95969628e-03,-6.53515966e-02,6.53515966e-02,0.866025
65.0,1.134464,3.88511272e-03,-3.09736385e-03,-6.60757660e-02,6.60757660e-02,0.766044
70.0,1.221730,3.25999665e-03,-3.21145862e-03,-6.67008821e-02,6.67008821e-02,0.642788
75.0,1.308997,2.53582723e-03,-3.30111225e-03,-6.72079510e-02,6.72079510e-02,0.500000
80.0,1.396263,1.73460799e-03,-3.36564242e-03,-6.75815657e-02,6.75815657e-02,0.342020
85.0,1.483530,8.80683555e-04,-3.40455803e-03,-6.78103740e-02,6.78103740e-02,0.173648
90.0,1.570796,2.35076154e-18,-3.41756288e-03,-6.78874238e-02,6.78874238e-02,0.000000
