row,col,value
0,0,6.8799175325212611e-02
0,1,-4.3293143624863403e-03
0,2,0.0000000000000000e+00
0,3,0.0000000000000000e+00
0,4,0.0000000000000000e+00
0,5,5.9747261906261005e-03
1,0,-4.3293143624863559e-03
1,1,6.8799175325212597e-02
1,2,0.0000000000000000e+00
1,3,0.0000000000000000e+00
1,4,0.0000000000000000e+00
1,5,-5.9747261906260901e-03
2,0,0.0000000000000000e+00
2,1,0.0000000000000000e+00
2,2,5.9142326157753979e-02
2,3,-9.4569639712311238e-03
2,4,9.4569639712311273e-03
2,5,0.0000000000000000e+00
3,0,0.0000000000000000e+00
3,1,0.0000000000000000e+00
3,2,-9.4569639712311325e-03
3,3,7.6037207873611762e-02
3,4,-4.0995725693695882e-02
3,5,0.0000000000000000e+00
4,0,0.0000000000000000e+00
4,1,0.0000000000000000e+00
4,2,9.4569639712311256e-03
4,3,-4.0995725693695841e-02
4,4,7.6037207873611706e-02
4,5,0.0000000000000000e+00
5,0,5.9747261906260996e-03
5,1,-5.9747261906260909e-03
5,2,0.0000000000000000e+00
5,3,0.0000000000000000e+00
5,4,0.0000000000000000e+00
5,5,3.0799584707609587e-02
