N,blob_radius,Fz,Ux,Uy,Uz,abs_Uz,U_mag,Omega_mag,Ux_th,abs_Uz_th
12,6.623623e-01,0.20,4.14694564e-04,-1.83918311e-19,-6.57686140e-03,6.57686140e-03,6.58992241e-03,4.46299770e-19,5.59107314e-04,8.25389069e-03
12,6.623623e-01,0.50,1.03673641e-03,-4.59795777e-19,-1.64421535e-02,1.64421535e-02,1.64748060e-02,1.11574943e-18,1.39776829e-03,2.06347267e-02
12,6.623623e-01,1.00,2.07347282e-03,-9.19591555e-19,-3.28843070e-02,3.28843070e-02,3.29496121e-02,2.23149885e-18,2.79553657e-03,4.12694534e-02
12,6.623623e-01,2.00,4.14694564e-03,-1.83918311e-18,-6.57686140e-02,6.57686140e-02,6.58992241e-02,4.46299770e-18,5.59107314e-03,8.25389069e-02
12,6.623623e-01,5.00,1.03673641e-02,-4.59795777e-18,-1.64421535e-01,1.64421535e-01,1.64748060e-01,1.11574943e-17,1.39776829e-02,2.06347267e-01
12,6.623623e-01,10.00,2.07347282e-02,-9.19591555e-18,-3.28843070e-01,3.28843070e-01,3.29496121e-01,2.23149885e-17,2.79553657e-02,4.12694534e-01
42,3.442810e-01,0.20,4.60824033e-04,-9.46377631e-20,-7.33305508e-03,7.33305508e-03,7.34752037e-03,7.49116487e-20,5.59107314e-04,8.25389069e-03
42,3.442810e-01,0.50,1.15206008e-03,-2.36594408e-19,-1.83326377e-02,1.83326377e-02,1.83688009e-02,1.87279122e-19,1.39776829e-03,2.06347267e-02
42,3.442810e-01,1.00,2.30412017e-03,-4.73188815e-19,-3.66652754e-02,3.66652754e-02,3.67376018e-02,3.74558244e-19,2.79553657e-03,4.12694534e-02
42,3.442810e-01,2.00,4.60824033e-03,-9.46377631e-19,-7.33305508e-02,7.33305508e-02,7.34752037e-02,7.49116487e-19,5.59107314e-03,8.25389069e-02
42,3.442810e-01,5.00,1.15206008e-02,-2.36594408e-18,-1.83326377e-01,1.83326377e-01,1.83688009e-01,1.87279122e-18,1.39776829e-02,2.06347267e-01
42,3.442810e-01,10.00,2.30412017e-02,-4.73188815e-18,-3.66652754e-01,3.66652754e-01,3.67376018e-01,3.74558244e-18,2.79553657e-02,4.12694534e-01
162,1.738030e-01,0.20,5.01772900e-04,5.37670459e-22,-7.82157179e-03,7.82157179e-03,7.83765025e-03,1.28914537e-19,5.59107314e-04,8.25389069e-03
162,1.738030e-01,0.50,1.25443225e-03,1.34417615e-21,-1.95539295e-02,1.95539295e-02,1.95941256e-02,3.22286343e-19,1.39776829e-03,2.06347267e-02
162,1.738030e-01,1.00,2.50886450e-03,2.68835229e-21,-3.91078590e-02,3.91078590e-02,3.91882512e-02,6.44572685e-19,2.79553657e-03,4.12694534e-02
162,1.738030e-01,2.00,5.01772900e-03,5.37670459e-21,-7.82157179e-02,7.82157179e-02,7.83765025e-02,1.28914537e-18,5.59107314e-03,8.25389069e-02
162,1.738030e-01,5.00,1.25443225e-02,1.34417615e-20,-1.95539295e-01,1.95539295e-01,1.95941256e-01,3.22286343e-18,1.39776829e-02,2.06347267e-01
162,1.738030e-01,10.00,2.50886450e-02,2.68835229e-20,-3.91078590e-01,3.91078590e-01,3.91882512e-01,6.44572685e-18,2.79553657e-02,4.12694534e-01
642,8.710918e-02,0.20,5.31032661e-04,-1.82707946e-22,-8.05585125e-03,8.05585125e-03,8.07333481e-03,7.36201171e-20,5.59107314e-04,8.25389069e-03
642,8.710918e-02,0.50,1.32758165e-03,-4.56769864e-22,-2.01396281e-02,2.01396281e-02,2.01833370e-02,1.84050293e-19,1.39776829e-03,2.06347267e-02
642,8.710918e-02,1.00,2.65516330e-03,-9.13539729e-22,-4.02792562e-02,4.02792562e-02,4.03666741e-02,3.68100585e-19,2.79553657e-03,4.12694534e-02
642,8.710918e-02,2.00,5.31032661e-03,-1.82707946e-21,-8.05585125e-02,8.05585125e-02,8.07333481e-02,7.36201171e-19,5.59107314e-03,8.25389069e-02
642,8.710918e-02,5.00,1.32758165e-02,-4.56769864e-21,-2.01396281e-01,2.01396281e-01,2.01833370e-01,1.84050293e-18,1.39776829e-02,2.06347267e-01
642,8.710918e-02,10.00,2.65516330e-02,-9.13539729e-21,-4.02792562e-01,4.02792562e-01,4.03666741e-01,3.68100585e-18,2.79553657e-02,4.12694534e-01
