row,col,value
0,0,4.1614290421752909e-02
0,1,-7.5122906001147512e-20
0,2,-2.4330529132332172e-06
0,3,3.0008318939999420e-21
0,4,-6.4101255466095738e-19
0,5,-5.3405989645599824e-20
1,0,-1.6955356042411473e-19
1,1,3.6602697896049537e-02
1,2,-3.1453451822502904e-19
1,3,-7.5648057245822130e-19
1,4,-9.0586378660103409e-18
1,5,7.0256343051068473e-18
2,0,-2.4330529132332477e-06
2,1,3.7492460441777568e-18
2,2,3.6596561420902306e-02
2,3,6.0181148577559095e-19
2,4,-9.3916960966598624e-20
2,5,9.0432354329320581e-23
3,0,4.5078359308308357e-20
3,1,-3.5154882456885142e-20
3,2,-1.4509782353695857e-19
3,3,2.1159823909632090e-02
3,4,-1.3280334225512547e-19
3,5,3.0698336145406552e-06
4,0,1.1752323671590786e-18
4,1,9.9337409322314870e-19
4,2,-4.6984090633426368e-19
4,3,-1.5869451093683173e-19
4,4,1.1562102041786081e-02
4,5,-9.9115352829388378e-20
5,0,2.6713655523550679e-20
5,1,-8.4457722859045712e-19
5,2,-5.8731155589971173e-20
5,3,3.0698336145403172e-06
5,4,1.1447836017755005e-21
5,5,1.1559546615607706e-02
