step,time,x,y,z,Ux,Uy,Uz,U_mag,Omega_mag,q0,q1,q2,q3
0,0.00,0.000000,0.000000,0.000000,2.50886450e-03,2.68835229e-21,-3.91078590e-02,3.91882512e-02,6.44572685e-19,0.923880,0.000000,0.382683,0.000000
1,1.00,0.002509,0.000000,-0.039108,2.50886450e-03,1.73952207e-21,-3.91078590e-02,3.91882512e-02,6.23186873e-19,0.923880,-0.000000,0.382683,0.000000
2,2.00,0.005018,0.000000,-0.078216,2.50886450e-03,-7.90691851e-22,-3.91078590e-02,3.91882512e-02,2.65830602e-19,0.923880,-0.000000,0.382683,0.000000
3,3.00,0.007527,0.000000,-0.117324,2.50886450e-03,1.42324533e-21,-3.91078590e-02,3.91882512e-02,5.13933340e-19,0.923880,-0.000000,0.382683,0.000000
4,4.00,0.010035,0.000000,-0.156431,2.50886450e-03,1.30046837e-33,-3.91078590e-02,3.91882512e-02,4.88900937e-19,0.923880,-0.000000,0.382683,0.000000
5,5.00,0.012544,0.000000,-0.195539,2.50886450e-03,3.32090577e-21,-3.91078590e-02,3.91882512e-02,5.59354551e-19,0.923880,-0.000000,0.382683,0.000000
6,6.00,0.015053,0.000000,-0.234647,2.50886450e-03,-6.32553481e-22,-3.91078590e-02,3.91882512e-02,4.32572453e-19,0.923880,-0.000000,0.382683,0.000000
7,7.00,0.017562,0.000000,-0.273755,2.50886450e-03,2.68835229e-21,-3.91078590e-02,3.91882512e-02,1.23201808e-19,0.923880,-0.000000,0.382683,0.000000
8,8.00,0.020071,0.000000,-0.312863,2.50886450e-03,-3.47904414e-21,-3.91078590e-02,3.91882512e-02,5.23224803e-20,0.923880,-0.000000,0.382683,0.000000
9,9.00,0.022580,0.000000,-0.351971,2.50886450e-03,-2.53021392e-21,-3.91078590e-02,3.91882512e-02,1.95805395e-19,0.923880,-0.000000,0.382683,0.000000
10,10.00,0.025089,0.000000,-0.391079,2.50886450e-03,-1.89766044e-21,-3.91078590e-02,3.91882512e-02,2.39298290e-19,0.923880,-0.000000,0.382683,0.000000
11,11.00,0.027598,0.000000,-0.430186,2.50886450e-03,4.42787437e-21,-3.91078590e-02,3.91882512e-02,2.62059286e-19,0.923880,-0.000000,0.382683,0.000000
12,12.00,0.030106,0.000000,-0.469294,2.50886450e-03,-1.10696859e-21,-3.91078590e-02,3.91882512e-02,5.83901223e-19,0.923880,-0.000000,0.382683,0.000000
13,13.00,0.032615,0.000000,-0.508402,2.50886450e-03,-2.53021392e-21,-3.91078590e-02,3.91882512e-02,4.70122184e-19,0.923880,-0.000000,0.382683,0.000000
14,14.00,0.035124,0.000000,-0.547510,2.50886450e-03,3.00462903e-21,-3.91078590e-02,3.91882512e-02,3.71037994e-19,0.923880,-0.000000,0.382683,0.000000
