bend_deg,norm_M_tr,Uz,Ux,Omega_mag
0.00,2.15274258e-17,-1.49196290e-02,-2.76370718e-06,4.71100863e-19
10.00,1.85386410e-04,-1.49277727e-02,-1.89353494e-06,1.76394022e-04
20.00,3.38224189e-04,-1.49528203e-02,-4.14838491e-07,3.19006677e-04
30.00,4.44754602e-04,-1.49926591e-02,5.27472527e-07,4.12919208e-04
40.00,5.09331936e-04,-1.50412728e-02,2.47640001e-07,4.61821596e-04
50.00,5.43794770e-04,-1.50971826e-02,-1.23106041e-06,4.77865054e-04
60.00,5.59540685e-04,-1.51646859e-02,-2.08360919e-06,4.73540859e-04
70.00,5.63995972e-04,-1.52456463e-02,-1.86360959e-06,4.57467668e-04
80.00,5.60752622e-04,-1.53405208e-02,-8.31147326e-07,4.34450703e-04
90.00,5.51318985e-04,-1.54556157e-02,2.41780492e-07,4.07500072e-04
