row,col,value
0,0,2.0098506315332935e-02
0,1,9.8931759057303920e-20
0,2,2.7637071767890215e-06
0,3,-3.3346993884703886e-20
0,4,2.5754571466671194e-20
0,5,3.0593020213295978e-20
1,0,1.6561100891167106e-19
1,1,1.4921710409010148e-02
1,2,-3.4088301292595034e-18
1,3,2.1466609092129894e-17
1,4,-1.4771916833733589e-18
1,5,-6.5150283105952901e-19
2,0,2.7637071767921013e-06
2,1,-9.5465837580250257e-20
2,2,1.4919628965023428e-02
2,3,-7.3955896369171270e-20
2,4,3.5434950315405100e-24
2,5,5.0810037988208618e-21
3,0,-2.4759607796335691e-20
3,1,5.5570384948436373e-20
3,2,-1.0455516837025631e-19
3,3,6.8235710382944523e-03
3,4,-6.1125989663333078e-20
3,5,3.9045433667810046e-08
4,0,6.9300405907407440e-20
4,1,-1.2321217907346565e-18
4,2,4.5884797395028370e-19
4,3,8.4412383063752848e-19
4,4,3.6068687347312600e-04
4,5,3.2408698585701300e-20
5,0,1.8512247308752292e-20
5,1,-3.2207758407197290e-19
5,2,-2.1512235005528758e-20
5,3,3.9045433666341714e-08
5,4,7.2453615446457177e-20
5,5,3.6078967648459813e-04
