shape,N_blobs,blob_radius,case,force_mag,viscosity,quaternion,Ux,Uy,Uz,U_mag,Omega_x,Omega_y,Omega_z,Omega_mag,Reynolds_number
disc,20,0.2,face_on,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.06507510669774785,0.06507510669774785,-3.789398830876294e-18,1.572033725825294e-06,0.0,1.572033725825294e-06,0.1301502133954957
disc,20,0.2,edge_on,1.0,1.0,"[np.float64(0.7071067811865476), 0.0, np.float64(0.7071067811865476), 0.0]",3.757397449587434e-18,-1.370542420227874e-19,-0.08199695317089967,0.08199695317089967,3.3617970400391676e-18,1.5300556849111814e-19,-1.980855102522174e-18,3.9049810472771224e-18,0.16399390634179933
disc,20,0.2,tilted_45,1.0,1.0,"[np.float64(0.9238795325112867), 0.0, np.float64(0.3826834323650898), 0.0]",0.008460923236575903,-6.857299097615887e-18,-0.07353602993432377,0.07402117886468029,-6.416722980855834e-18,1.1115957077725117e-06,1.4551999399078877e-18,1.1115957077725117e-06,0.14804235772936059
disc,39,0.14285714285714285,face_on,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.0643720159048997,0.0643720159048997,-1.1070737379963269e-17,1.8902578067414573e-08,0.0,1.8902578067414573e-08,0.1287440318097994
disc,39,0.14285714285714285,edge_on,1.0,1.0,"[np.float64(0.7071067811865476), 0.0, np.float64(0.7071067811865476), 0.0]",4.383443236426102e-18,8.897926540662349e-19,-0.08411329003282818,0.08411329003282818,2.3085525720909315e-19,3.034488853825874e-19,1.5343810113049647e-18,1.58104410554363e-18,0.16822658006565636
disc,39,0.14285714285714285,tilted_45,1.0,1.0,"[np.float64(0.9238795325112867), 0.0, np.float64(0.3826834323650898), 0.0]",0.009870637063964247,-8.339884024017054e-18,-0.07424265296886402,0.0748959344417551,-6.259495100167533e-18,1.3366141163005026e-08,-8.557946769882068e-19,1.3366141163005026e-08,0.1497918688835102
disc,95,0.09090909090909091,face_on,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.06371748247154979,0.06371748247154979,-6.539982395922802e-18,2.6098755556047053e-08,0.0,2.6098755556047053e-08,0.12743496494309958
disc,95,0.09090909090909091,edge_on,1.0,1.0,"[np.float64(0.7071067811865476), 0.0, np.float64(0.7071067811865476), 0.0]",5.059359280325338e-18,5.192489740540997e-20,-0.08650281179664987,0.08650281179664987,2.403902978580419e-18,2.0358508971555565e-19,1.6431915557382605e-19,2.4180978483243383e-18,0.17300562359329974
disc,95,0.09090909090909091,tilted_45,1.0,1.0,"[np.float64(0.9238795325112867), 0.0, np.float64(0.3826834323650898), 0.0]",0.011392664662550032,8.238887026100331e-18,-0.07511014713409982,0.07596925042817942,-2.9117005153022143e-18,1.84546070448536e-08,-1.2945455514836073e-19,1.84546070448536e-08,0.15193850085635885
disc,177,0.06666666666666667,face_on,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.06341868455592585,0.06341868455592585,8.472771356471713e-18,-4.692709749416232e-09,0.0,4.692709749416232e-09,0.1268373691118517
disc,177,0.06666666666666667,edge_on,1.0,1.0,"[np.float64(0.7071067811865476), 0.0, np.float64(0.7071067811865476), 0.0]",5.4286111359078554e-18,8.035848873393871e-20,-0.08786697595197604,0.08786697595197604,-1.6578542933166466e-18,-4.579063550988222e-19,-7.02466441315103e-20,1.7213639007833485e-18,0.17573395190395208
disc,177,0.06666666666666667,tilted_45,1.0,1.0,"[np.float64(0.9238795325112867), 0.0, np.float64(0.3826834323650898), 0.0]",0.012224145698025107,1.377193305679639e-17,-0.07564283025395098,0.07662419661487216,-6.038160492852464e-18,-3.318246878171898e-09,8.013210043167005e-19,3.318246878171898e-09,0.15324839322974432
disc,347,0.047619047619047616,face_on,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",0.0,0.0,-0.06317712470916802,0.06317712470916802,0.0,-5.01210889423212e-09,0.0,5.01210889423212e-09,0.12635424941833603
disc,347,0.047619047619047616,edge_on,1.0,1.0,"[np.float64(0.7071067811865476), 0.0, np.float64(0.7071067811865476), 0.0]",5.7580927153101085e-18,-2.451927979767357e-19,-0.08910926902814813,0.08910926902814813,-1.4025110329639106e-18,-1.5567045256455462e-19,-1.0665086661631937e-19,1.4151483649204986e-18,0.17821853805629626
disc,347,0.047619047619047616,tilted_45,1.0,1.0,"[np.float64(0.9238795325112867), 0.0, np.float64(0.3826834323650898), 0.0]",0.012966072159490047,-3.461970245081416e-17,-0.07614319686865802,0.07723927405552382,1.4345021314899073e-18,-3.5440961861827922e-09,1.8385204837324788e-19,3.5440961861827922e-09,0.15447854811104764
disc,755,0.03225806451612903,face_on,1.0,1.0,"[1.0, 0.0, 0.0, 0.0]",0.0,1.3614439937323412e-17,-0.06297551299638748,0.06297551299638748,1.0626691144824144e-17,3.041773845277483e-09,3.1908843513853966e-18,3.041773845277483e-09,0.12595102599277497
disc,755,0.03225806451612903,edge_on,1.0,1.0,"[np.float64(0.7071067811865476), 0.0, np.float64(0.7071067811865476), 0.0]",6.0594410290367276e-18,2.7055787425568425e-19,-0.09026480939110194,0.09026480939110194,-4.0628901133915895e-18,7.835079116570367e-20,-6.6650580205122915e-21,4.0636509868552726e-18,0.1805296187822039
disc,755,0.03225806451612903,tilted_45,1.0,1.0,"[np.float64(0.9238795325112867), 0.0, np.float64(0.3826834323650898), 0.0]",0.013644648197357185,-6.453135197073909e-18,-0.07662016119374465,0.07782560970390824,-3.0784936861338005e-18,2.1508589154935336e-09,6.301066095389225e-19,2.1508589154935336e-09,0.15565121940781648
