step,time,x,y,z,Ux,Uy,Uz,U_mag,Omega_x,Omega_y,Omega_z,Omega_mag,q0,q1,q2,q3,normal_x,normal_y,normal_z,tilt_angle_deg
0,0.0,0.0,0.0,10.0,0.011392664662550072,-1.0817091688579995e-17,-0.07511014713409986,0.07596925042817947,-1.473809304936312e-18,1.8454607043948492e-08,3.1477698318833547e-19,1.8454607043948492e-08,0.9238795325112867,0.0,0.3826834323650898,0.0,0.7071067811865476,0.0,0.7071067811865475,45.00000000000001
1,0.1,0.0011392664662550037,-1.0777344771482133e-18,9.992488985284487,0.011392664662550034,-2.5301424370661476e-17,-0.07511014717614924,0.07596925046975332,-2.8456638569451366e-18,1.8454607013705217e-08,-4.855014950196586e-19,1.8454607013705217e-08,0.9238795321581732,-2.6910541796782567e-19,0.3826834332175815,-4.4910676016003513e-20,0.7071067824914855,4.628688319348354e-19,0.70710677988161,45.000000105737094
2,0.2,0.0022785329325100065,1.6418711994941524e-18,9.984977970564769,0.01139266466255003,2.9774748187116913e-17,-0.07511014721819868,0.07596925051132725,-2.005404736342587e-18,1.84546069810619e-08,-2.9335651802358116e-19,1.84546069810619e-08,0.9238795318050596,-4.033968824187307e-20,0.3826834340700732,6.157991555042024e-20,0.7071067837964232,1.2166925167728737e-19,0.707106778576672,45.000000211474216
3,0.30000000000000004,0.0034177993987650115,8.242328095548252e-19,9.977466955840846,0.011392664662550027,8.648385941754383e-19,-0.07511014726024812,0.07596925055290116,-1.9994010841207017e-18,1.8454606947235316e-08,-4.501650410496773e-19,1.8454606947235316e-08,0.9238795314519459,-1.657749725078077e-19,0.3826834349225649,-5.053809031493437e-21,0.7071067851013609,3.0244418985471602e-19,0.7071067772717341,45.00000031721134
4,0.4,0.0045570658650200165,1.6405249918748405e-18,9.969955941112719,0.011392664662550038,8.19940258959371e-18,-0.07511014730229755,0.07596925059447508,1.6849592044782483e-18,1.845460690737859e-08,1.953516254664044e-18,1.845460690737859e-08,0.9238795310988323,1.3327306491416871e-19,0.3826834357750566,1.3259307939872807e-19,0.7071067864062988,-1.4477416307341256e-19,0.7071067759667964,45.000000422948446
5,0.5,0.00569633233127502,2.7156247149233895e-18,9.962444926380387,0.011392664662550046,8.153318866131668e-18,-0.07511014734434697,0.07596925063604898,2.6031121346307557e-18,1.845460688394953e-08,8.028847612723048e-19,1.845460688394953e-08,0.9238795307457186,1.3336493921123962e-19,0.3826834366275483,2.119630211063702e-19,0.7071067877112365,-8.419680020293607e-20,0.7071067746618585,45.00000052868556
6,0.6000000000000001,0.006835598797530023,2.6229209897757016e-18,9.95493391164385,0.01139266466255,-8.245588694020788e-18,-0.07511014738639639,0.07596925067762288,-2.9649105338886242e-18,1.8454606843391846e-08,-8.464478568991834e-19,1.8454606843391846e-08,0.9238795303926051,1.6560065570512866e-19,0.38268343748004,2.2923646850647484e-19,0.7071067890161744,-1.3054011252343802e-19,0.707106773356921,45.00000063442265
7,0.7000000000000001,0.007974865263785026,-3.5354177019967145e-19,9.947422896903108,0.011392664662550036,8.249061401665647e-18,-0.07511014742844582,0.07596925071919679,-1.3859365970757934e-19,1.8454606803809113e-08,6.9953032166722975e-19,1.8454606803809113e-08,0.9238795300394914,1.3172421126798197e-19,0.3826834383325317,2.8299395444533986e-19,0.7071067903211122,-2.6800405773246748e-20,0.707106772051983,45.00000074015977
8,0.8,0.009114131730040028,-2.601819708569435e-19,9.93991188215816,0.011392664662550029,-8.18974769411051e-18,-0.07511014747049527,0.07596925076077073,-3.6107094195964396e-18,1.8454606772762867e-08,5.51361007232344e-19,1.8454606772762867e-08,0.9238795296863778,3.656003304940079e-21,0.3826834391850234,2.1448065489399428e-19,0.70710679162605,1.5740097607917993e-19,0.7071067707470451,45.000000845896885
9,0.9,0.010253398196295031,5.555276735722995e-19,9.932400867409008,0.011392664662550013,8.15391389741904e-18,-0.07511014751254468,0.07596925080234461,-2.9248238954907188e-18,1.8454606742022798e-08,2.7603388066811697e-19,1.8454606742022798e-08,0.9238795293332641,1.2120265204218637e-19,0.3826834400375151,1.7142487004666103e-19,0.7071067929309877,-9.27503802904766e-20,0.7071067694421072,45.00000095163401
10,1.0,0.011392664662550034,1.3814509702987563e-18,9.924889852655651,0.011392664662550038,2.7220445490045077e-17,-0.07511014755459412,0.07596925084391853,4.589839264205504e-18,1.8454606700443684e-08,1.908191219907027e-18,1.8454606700443684e-08,0.9238795289801505,-9.948972128009493e-20,0.3826834408900068,1.2106405516688111e-19,0.7071067942359254,2.7649145206796047e-19,0.7071067681371694,45.00000105737111
11,1.1,0.012531931128805036,1.2910882870131786e-18,9.91737883789809,0.01139266466255004,1.0764015263347505e-17,-0.07511014759664358,0.07596925088549249,5.966809616882974e-19,1.8454606666366384e-08,1.3584855610257518e-18,1.8454606666366384e-08,0.9238795286270368,-3.0698581031764527e-19,0.38268344174249846,5.37545895317511e-20,0.7071067955408632,6.083777941258417e-19,0.7071067668322315,45.00000116310823
12,1.2000000000000002,0.013671197595060039,4.684659454309875e-19,9.909867823136324,0.011392664662550036,1.9923993931264916e-17,-0.07511014763869296,0.07596925092706634,-2.156057400554029e-18,1.84546066334169e-08,7.103369147744572e-19,1.84546066334169e-08,0.9238795282739233,-3.3123732541602143e-19,0.3826834425949902,8.660515820407849e-20,0.7071067968458011,6.783314880801809e-19,0.707106765527294,45.00000126884532
13,1.3,0.01481046406131504,1.5458700394037108e-18,9.902356808370351,0.011392664662550022,-1.083925871246807e-17,-0.07511014768074241,0.07596925096864027,-6.021165697007083e-18,1.84546066077042e-08,8.854407181021168e-19,1.84546066077042e-08,0.9238795279208096,-3.8648817048791487e-19,0.3826834434474819,9.125164427189582e-20,0.7071067981507388,7.839780038951319e-19,0.7071067642223561,45.00000137458244
14,1.4000000000000001,0.015949730527570045,-1.4321934514781153e-18,9.894845793600174,0.011392664662550013,2.7216851986395342e-17,-0.07511014772279183,0.07596925101021416,-1.2435402491911105e-19,1.8454606562945527e-08,-2.1148063128492876e-18,1.8454606562945527e-08,0.923879527567696,-3.6814392785167773e-19,0.3826834442999736,1.330158125311279e-19,0.7071067994556766,7.820471748525911e-19,0.7071067629174181,45.000001480319554
15,1.5,0.01708899699382505,-3.413728187530576e-18,9.887334778825792,0.011392664662550032,1.978602991975283e-17,-0.0751101477648413,0.07596925105178813,3.692517898462509e-18,1.8454606537135202e-08,-3.3548867049397075e-19,1.8454606537135202e-08,0.9238795272145823,-3.297665468123286e-19,0.3826834451524652,1.3919953194524317e-19,0.7071068007606143,7.158678356171518e-19,0.7071067616124804,45.000001586056655
16,1.6,0.018228263460080052,-2.3376847529417498e-18,9.879823764047206,0.011392664662550034,-1.0813477241761192e-17,-0.07511014780689075,0.07596925109336206,2.495745706664639e-19,1.8454606505090834e-08,1.900863169901578e-18,1.8454606505090834e-08,0.9238795268614687,-3.3104810688872897e-19,0.38268344600495685,2.064873307150705e-19,0.7071068020655519,7.697357032703044e-19,0.7071067603075425,45.00000169179378
