N,force,velocity_disc_1,velocity_disc_2,velocity_average,theory_velocity,relative_error,separation,orientation,Re
12,0.1,0.005900620113314103,0.005900620113311018,0.005900620113312561,0.00625,5.590078186999026,40.0,face_on,0.011801240226625122
12,0.2,0.011801240226628207,0.011801240226622036,0.011801240226625122,0.0125,5.590078186999026,40.0,face_on,0.023602480453250245
12,0.5,0.029503100566570514,0.02950310056655509,0.0295031005665628,0.03125,5.590078186999037,40.0,face_on,0.0590062011331256
12,1.0,0.05900620113314103,0.05900620113311018,0.0590062011331256,0.0625,5.590078186999037,40.0,face_on,0.1180124022662512
12,2.0,0.11801240226628205,0.11801240226622035,0.1180124022662512,0.125,5.590078186999037,40.0,face_on,0.2360248045325024
12,5.0,0.29503100566570517,0.29503100566555085,0.295031005665628,0.3125,5.590078186999037,40.0,face_on,0.590062011331256
42,0.1,0.006117096204014409,0.00611709620401713,0.00611709620401577,0.00625,2.1264607357476817,40.0,face_on,0.01223419240803154
42,0.2,0.012234192408028819,0.01223419240803426,0.01223419240803154,0.0125,2.1264607357476817,40.0,face_on,0.02446838481606308
42,0.5,0.030585481020072046,0.03058548102008565,0.030585481020078846,0.03125,2.126460735747693,40.0,face_on,0.06117096204015769
42,1.0,0.06117096204014409,0.0611709620401713,0.06117096204015769,0.0625,2.126460735747693,40.0,face_on,0.12234192408031538
42,2.0,0.12234192408028818,0.1223419240803426,0.12234192408031538,0.125,2.126460735747693,40.0,face_on,0.24468384816063077
42,5.0,0.3058548102007204,0.30585481020085653,0.3058548102007885,0.3125,2.1264607357476883,40.0,face_on,0.611709620401577
162,0.1,0.006231385460945579,0.006231385460946006,0.006231385460945793,0.00625,0.2978326248673224,40.0,face_on,0.012462770921891585
162,0.2,0.012462770921891159,0.012462770921892012,0.012462770921891585,0.0125,0.2978326248673224,40.0,face_on,0.02492554184378317
162,0.5,0.031156927304727897,0.03115692730473003,0.031156927304728965,0.03125,0.2978326248673113,40.0,face_on,0.06231385460945793
162,1.0,0.06231385460945579,0.06231385460946006,0.06231385460945793,0.0625,0.2978326248673113,40.0,face_on,0.12462770921891586
162,2.0,0.12462770921891159,0.12462770921892012,0.12462770921891586,0.125,0.2978326248673113,40.0,face_on,0.24925541843783172
162,5.0,0.311569273047279,0.3115692730473003,0.31156927304728965,0.3125,0.2978326248673113,40.0,face_on,0.6231385460945793
642,0.1,0.006294400730994342,0.0062944007309945265,0.006294400730994434,0.00625,0.7104116959109341,40.0,face_on,0.012588801461988867
642,0.2,0.012588801461988684,0.012588801461989053,0.012588801461988867,0.0125,0.7104116959109341,40.0,face_on,0.025177602923977735
642,0.5,0.03147200365497171,0.03147200365497263,0.03147200365497217,0.03125,0.7104116959109508,40.0,face_on,0.06294400730994434
642,1.0,0.06294400730994341,0.06294400730994526,0.06294400730994434,0.0625,0.7104116959109508,40.0,face_on,0.1258880146198887
642,2.0,0.12588801461988683,0.12588801461989052,0.1258880146198887,0.125,0.7104116959109508,40.0,face_on,0.2517760292397774
642,5.0,0.31472003654971714,0.3147200365497263,0.3147200365497217,0.3125,0.7104116959109419,40.0,face_on,0.6294400730994434
2562,0.1,0.006322896824253043,0.006322896824253063,0.006322896824253053,0.00625,1.1663491880488375,40.0,face_on,0.012645793648506105
2562,0.2,0.012645793648506086,0.012645793648506126,0.012645793648506105,0.0125,1.1663491880488375,40.0,face_on,0.02529158729701221
2562,0.5,0.03161448412126521,0.03161448412126531,0.03161448412126526,0.03125,1.166349188048832,40.0,face_on,0.06322896824253052
2562,1.0,0.06322896824253042,0.06322896824253062,0.06322896824253052,0.0625,1.166349188048832,40.0,face_on,0.12645793648506104
2562,2.0,0.12645793648506085,0.12645793648506123,0.12645793648506104,0.125,1.166349188048832,40.0,face_on,0.2529158729701221
2562,5.0,0.31614484121265213,0.3161448412126531,0.3161448412126526,0.3125,1.1663491880488408,40.0,face_on,0.6322896824253053
